Year,Donor Types,Age Groups,All States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
TOTAL,Deceased Donor,35-49 Years,"229,548","3,104","5,151","1,279","26,977","3,202","1,891",123,"2,369","15,403","5,829",611,"9,038","4,238","1,565","1,572","2,646","4,045",284,"4,908","6,185","6,511","5,346",886,"5,522","1,955",685,198,"4,006",660,"14,695","7,506",297,"11,086","2,341","2,620","15,721",637,261,"2,920",262,"6,657","18,777","2,380",156,"5,959","4,773",545,"5,766"
TOTAL,Deceased Donor,50-64 Years,"163,064","2,166","3,936",738,"19,440","1,874","1,385",142,"2,008","11,847","3,641",413,"7,044","2,166","1,345","1,099","1,696","2,680",251,"3,786","4,913","4,834","3,744",667,"3,688","1,524",395,152,"3,643",400,"12,261","5,096",242,"7,715","1,347","1,593","11,527",599,261,"1,795",239,"4,084","11,486","1,435",140,"4,078","2,763",463,"4,323"
TOTAL,Deceased Donor,65 +,"29,997",341,824,63,"2,930",186,193,19,525,"2,735",539,26,"1,332",212,216,198,164,362,35,886,"1,169",634,839,84,720,386,26,20,690,57,"3,551",914,43,"1,318",220,167,"2,531",74,61,179,58,529,"1,726",306,35,785,255,100,734
TOTAL,Deceased Donor,Unknown,61,0,0,0,18,1,0,0,1,8,1,0,1,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,18,0,0,0,0,0,0,0,0,0,0,0,3
TOTAL,Living Donor,All Donor Ages,"201,060","3,696","4,356",879,"22,432","3,674","2,353",235,"3,375","7,418","4,924",319,"9,702","2,647","1,556",853,"1,406","2,496",749,"5,288","6,945","7,179","10,194",182,"3,917","1,427",322,490,"4,953",576,"16,747","4,680",611,"9,484","1,266","2,300","11,253",605,650,"1,267",438,"4,149","15,460","2,935",233,"5,107","3,893",372,"5,067"
TOTAL,Living Donor,< 1 Year,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,Living Donor,1-5 Years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,Living Donor,6-10 Years,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
TOTAL,Living Donor,11-17 Years,69,0,0,0,5,0,0,0,5,1,1,0,8,1,0,0,0,0,0,1,0,1,7,0,4,1,0,0,0,0,5,0,0,5,3,0,7,1,0,2,0,2,4,0,0,3,0,0,2
TOTAL,Living Donor,18-34 Years,"64,032","1,216","1,436",347,"7,541","1,156",626,96,"1,173","2,317","1,526",101,"3,801",866,457,277,475,921,169,"1,578","1,901","2,296","2,814",62,"1,282",419,123,104,"1,371",182,"5,365","1,456",166,"3,003",350,607,"3,503",260,164,396,144,"1,498","5,301",988,86,"1,597","1,037",125,"1,353"
TOTAL,Living Donor,35-49 Years,"85,550","1,692","1,772",376,"9,295","1,585",952,106,"1,354","3,102","2,116",127,"3,894","1,222",711,365,637,"1,026",332,"2,157","2,929","3,106","4,388",76,"1,687",642,146,239,"2,087",243,"6,816","2,054",261,"4,230",583,"1,002","4,936",261,259,558,179,"1,818","6,515","1,299",91,"2,231","1,702",168,"2,223"
TOTAL,Living Donor,50-64 Years,"46,275",724,"1,035",152,"4,988",867,673,31,728,"1,783","1,144",88,"1,831",525,360,205,279,509,210,"1,370","1,893","1,631","2,593",38,829,338,50,138,"1,317",143,"4,037","1,057",166,"2,083",316,596,"2,538",78,213,280,106,773,"3,262",602,51,"1,180","1,050",74,"1,341"
TOTAL,Living Donor,65 +,"5,088",64,111,4,601,66,102,2,107,214,137,3,167,33,28,6,15,40,38,182,222,145,391,6,109,27,3,9,178,8,518,113,18,162,13,95,260,5,14,30,9,58,372,46,5,96,103,5,148
TOTAL,Living Donor,Unknown,35,0,2,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0,0,0,0,0,6,0,0,1,0,0,6,0,0,0,0,0,0
2025,All Donor Types,All Donor Ages,"16,356",161,453,74,"1,674",268,107,18,254,"1,137",535,42,737,198,55,90,120,224,9,253,580,393,378,70,344,148,65,9,357,24,"1,228",589,13,806,127,155,828,33,20,326,17,513,"1,543",265,2,455,330,34,295
2025,All Donor Types,< 1 Year,56,0,0,0,3,1,1,0,3,7,1,0,4,1,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,1,4,0,2,0,1,6,0,0,1,0,5,6,0,0,1,0,0,1
2025,All Donor Types,1-5 Years,137,4,2,0,16,1,0,0,7,9,3,0,8,3,0,0,2,0,0,0,3,2,5,4,6,3,1,0,3,0,13,2,0,3,0,0,4,0,1,1,0,5,16,3,0,3,0,0,4
2025,All Donor Types,6-10 Years,92,2,4,1,5,3,0,0,3,5,0,0,2,1,0,0,1,0,0,0,1,2,6,0,7,4,0,0,2,0,5,0,0,2,1,0,5,0,0,3,0,2,21,0,0,1,0,0,3
2025,All Donor Types,11-17 Years,498,5,21,1,65,13,1,0,10,34,21,0,20,5,2,0,2,9,0,9,11,8,15,0,10,7,2,0,8,0,29,13,0,16,5,6,26,2,0,11,0,12,56,8,0,7,21,0,7
2025,All Donor Types,18-34 Years,"4,022",49,106,24,428,60,24,1,49,272,126,14,193,74,16,22,43,58,2,74,94,88,87,17,89,29,13,2,53,3,285,161,5,177,33,59,198,9,4,87,5,130,418,56,0,125,79,8,73
2025,All Donor Types,35-49 Years,"5,585",60,138,24,604,106,49,8,75,310,179,16,260,58,15,32,38,68,4,79,194,138,120,17,99,50,18,0,119,7,420,192,2,274,53,66,329,11,6,110,9,160,555,101,1,138,160,9,104
2025,All Donor Types,50-64 Years,"4,602",33,127,20,454,75,25,8,76,359,163,11,214,47,17,32,25,71,2,70,187,106,111,29,103,36,25,5,133,14,364,157,6,243,27,18,204,9,7,100,3,174,368,71,1,124,60,9,79
2025,All Donor Types,65 +,"1,362",8,55,4,99,9,7,1,31,141,42,1,36,9,5,4,9,18,1,21,90,48,34,3,28,15,5,2,39,0,111,60,0,89,8,5,55,2,2,13,0,25,103,26,0,56,10,8,24
2025,All Donor Types,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025,Deceased Donor,All Donor Ages,"14,136",148,405,67,"1,453",216,88,16,217,"1,031",449,42,642,176,44,80,108,193,6,214,507,343,297,64,312,134,64,3,304,21,"1,045",526,11,719,110,139,654,32,11,298,13,471,"1,258",219,0,408,299,33,246
2025,Deceased Donor,< 1 Year,56,0,0,0,3,1,1,0,3,7,1,0,4,1,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,1,4,0,2,0,1,6,0,0,1,0,5,6,0,0,1,0,0,1
2025,Deceased Donor,1-5 Years,137,4,2,0,16,1,0,0,7,9,3,0,8,3,0,0,2,0,0,0,3,2,5,4,6,3,1,0,3,0,13,2,0,3,0,0,4,0,1,1,0,5,16,3,0,3,0,0,4
2025,Deceased Donor,6-10 Years,92,2,4,1,5,3,0,0,3,5,0,0,2,1,0,0,1,0,0,0,1,2,6,0,7,4,0,0,2,0,5,0,0,2,1,0,5,0,0,3,0,2,21,0,0,1,0,0,3
2025,Deceased Donor,11-17 Years,498,5,21,1,65,13,1,0,10,34,21,0,20,5,2,0,2,9,0,9,11,8,15,0,10,7,2,0,8,0,29,13,0,16,5,6,26,2,0,11,0,12,56,8,0,7,21,0,7
2025,Deceased Donor,18-34 Years,"3,521",47,92,20,375,45,23,1,41,248,109,14,177,69,16,20,37,50,2,61,87,79,76,16,80,24,13,0,44,3,223,146,4,158,28,54,165,9,4,82,3,120,348,49,0,112,71,8,68
2025,Deceased Donor,35-49 Years,"4,656",54,115,22,521,84,40,6,58,266,145,16,223,48,13,27,33,56,2,70,161,114,89,14,84,42,17,0,95,6,347,170,2,230,43,58,247,11,1,100,8,149,432,80,0,126,142,9,80
2025,Deceased Donor,50-64 Years,"3,994",29,119,19,385,64,19,8,68,328,133,11,182,43,9,29,25,62,1,58,162,94,85,27,97,35,25,2,119,12,329,136,5,226,25,17,163,8,3,90,2,156,288,59,0,106,56,8,67
2025,Deceased Donor,65 +,"1,182",7,52,4,83,5,4,1,27,134,37,1,26,6,4,4,8,16,1,16,82,43,21,3,27,15,5,1,33,0,98,55,0,82,8,3,38,2,2,10,0,22,91,20,0,52,9,8,16
2025,Living Donor,All Donor Ages,"2,220",13,48,7,221,52,19,2,37,106,86,0,95,22,11,10,12,31,3,39,73,50,81,6,32,14,1,6,53,3,183,63,2,87,17,16,174,1,9,28,4,42,285,46,2,47,31,1,49
2025,Living Donor,18-34 Years,501,2,14,4,53,15,1,0,8,24,17,0,16,5,0,2,6,8,0,13,7,9,11,1,9,5,0,2,9,0,62,15,1,19,5,5,33,0,0,5,2,10,70,7,0,13,8,0,5
2025,Living Donor,35-49 Years,929,6,23,2,83,22,9,2,17,44,34,0,37,10,2,5,5,12,2,9,33,24,31,3,15,8,1,0,24,1,73,22,0,44,10,8,82,0,5,10,1,11,123,21,1,12,18,0,24
2025,Living Donor,50-64 Years,608,4,8,1,69,11,6,0,8,31,30,0,32,4,8,3,0,9,1,12,25,12,26,2,6,1,0,3,14,2,35,21,1,17,2,1,41,1,4,10,1,18,80,12,1,18,4,1,12
2025,Living Donor,65 +,180,1,3,0,16,4,3,0,4,7,5,0,10,3,1,0,1,2,0,5,8,5,13,0,1,0,0,1,6,0,13,5,0,7,0,2,17,0,0,3,0,3,12,6,0,4,1,0,8
2025,Living Donor,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,All Donor Types,All Donor Ages,"48,149",476,"1,388",224,"5,261",790,322,56,743,"3,250","1,460",94,"2,365",657,219,309,374,618,31,728,"1,492","1,140","1,140",209,"1,051",410,188,19,"1,062",86,"3,626","1,544",56,"2,435",391,408,"2,288",145,47,850,70,"1,566","4,425",810,16,"1,429",900,102,879
2024,All Donor Types,< 1 Year,169,2,2,2,14,5,0,0,15,9,1,0,9,0,1,0,1,0,0,0,0,8,0,0,4,9,3,0,1,0,12,6,0,8,0,0,17,0,0,1,0,7,26,1,0,2,2,0,1
2024,All Donor Types,1-5 Years,463,7,3,2,50,5,0,3,17,41,11,0,14,2,0,0,3,3,0,2,10,8,10,1,18,14,3,0,16,0,39,9,1,22,2,4,27,0,0,6,0,15,64,8,0,6,4,0,13
2024,All Donor Types,6-10 Years,415,7,6,2,42,7,2,0,16,29,12,2,22,6,0,1,2,3,0,6,8,8,8,1,16,10,2,0,10,2,24,20,0,28,1,4,28,2,1,10,0,15,32,2,0,4,4,0,10
2024,All Donor Types,11-17 Years,"1,825",25,51,9,196,43,1,4,29,122,48,0,103,38,7,9,5,27,2,37,47,35,43,10,66,15,3,0,32,2,128,61,1,69,16,6,79,7,1,40,3,71,200,41,0,42,21,2,28
2024,All Donor Types,18-34 Years,"13,191",141,405,77,"1,538",207,75,15,210,846,441,31,677,222,66,68,132,165,3,216,280,270,314,57,274,106,51,6,215,29,867,435,12,570,125,126,625,46,3,218,21,404,"1,448",207,2,393,325,19,208
2024,All Donor Types,35-49 Years,"16,191",162,438,81,"1,825",304,131,10,199,982,496,33,787,218,59,110,131,211,10,245,457,369,362,78,333,131,63,6,373,29,"1,199",525,17,855,139,169,814,34,14,294,23,548,"1,505",242,4,508,346,31,291
2024,All Donor Types,50-64 Years,"13,060",102,380,48,"1,396",186,95,18,204,940,382,26,649,150,68,92,93,183,14,180,504,361,335,53,266,84,57,7,334,23,"1,093",389,22,706,91,86,578,50,20,245,20,453,980,222,6,378,167,40,284
2024,All Donor Types,65 +,"2,832",30,103,3,200,33,18,6,53,281,69,2,103,21,18,29,7,26,2,42,186,81,68,9,73,41,6,0,81,1,263,99,3,177,17,13,120,6,8,36,3,53,170,87,4,96,31,10,44
2024,All Donor Types,Unknown,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Deceased Donor,All Donor Ages,"41,119",421,"1,217",211,"4,480",617,237,48,625,"2,879","1,243",87,"2,034",577,164,277,313,524,21,633,"1,273",995,880,195,919,351,181,12,919,74,"3,016","1,393",46,"2,192",351,370,"1,749",135,33,768,55,"1,444","3,620",669,9,"1,264",800,94,704
2024,Deceased Donor,< 1 Year,169,2,2,2,14,5,0,0,15,9,1,0,9,0,1,0,1,0,0,0,0,8,0,0,4,9,3,0,1,0,12,6,0,8,0,0,17,0,0,1,0,7,26,1,0,2,2,0,1
2024,Deceased Donor,1-5 Years,463,7,3,2,50,5,0,3,17,41,11,0,14,2,0,0,3,3,0,2,10,8,10,1,18,14,3,0,16,0,39,9,1,22,2,4,27,0,0,6,0,15,64,8,0,6,4,0,13
2024,Deceased Donor,6-10 Years,415,7,6,2,42,7,2,0,16,29,12,2,22,6,0,1,2,3,0,6,8,8,8,1,16,10,2,0,10,2,24,20,0,28,1,4,28,2,1,10,0,15,32,2,0,4,4,0,10
2024,Deceased Donor,11-17 Years,"1,825",25,51,9,196,43,1,4,29,122,48,0,103,38,7,9,5,27,2,37,47,35,43,10,66,15,3,0,32,2,128,61,1,69,16,6,79,7,1,40,3,71,200,41,0,42,21,2,28
2024,Deceased Donor,18-34 Years,"11,530",128,360,74,"1,361",163,57,13,179,754,397,29,590,206,52,61,111,149,2,192,244,248,275,52,251,91,49,5,193,28,706,395,11,499,119,117,491,45,2,206,18,370,"1,214",172,0,346,307,17,181
2024,Deceased Donor,35-49 Years,"13,353",143,368,72,"1,523",224,98,8,160,847,410,31,648,174,42,101,105,166,7,212,383,304,265,73,268,105,61,2,310,25,955,466,17,742,117,161,601,28,8,256,18,496,"1,172",182,2,439,308,27,223
2024,Deceased Donor,50-64 Years,"11,008",86,333,47,"1,143",149,69,15,173,826,309,24,566,131,48,77,79,158,9,150,425,313,244,49,233,69,54,5,287,16,921,346,14,652,81,68,429,47,13,219,14,422,782,183,5,336,131,38,220
2024,Deceased Donor,65 +,"2,356",23,94,3,151,21,10,5,36,251,55,1,82,20,14,28,7,18,1,34,156,71,35,9,63,38,6,0,70,1,231,90,2,172,15,10,77,6,8,30,2,48,130,80,2,89,23,10,28
2024,Living Donor,All Donor Ages,"7,030",55,171,13,781,173,85,8,118,371,217,7,331,80,55,32,61,94,10,95,219,145,260,14,132,59,7,7,143,12,610,151,10,243,40,38,539,10,14,82,15,122,805,141,7,165,100,8,175
2024,Living Donor,18-34 Years,"1,661",13,45,3,177,44,18,2,31,92,44,2,87,16,14,7,21,16,1,24,36,22,39,5,23,15,2,1,22,1,161,40,1,71,6,9,134,1,1,12,3,34,234,35,2,47,18,2,27
2024,Living Donor,35-49 Years,"2,838",19,70,9,302,80,33,2,39,135,86,2,139,44,17,9,26,45,3,33,74,65,97,5,65,26,2,4,63,4,244,59,0,113,22,8,213,6,6,38,5,52,333,60,2,69,38,4,68
2024,Living Donor,50-64 Years,"2,052",16,47,1,253,37,26,3,31,114,73,2,83,19,20,15,14,25,5,30,79,48,91,4,33,15,3,2,47,7,172,43,8,54,10,18,149,3,7,26,6,31,198,39,1,42,36,2,64
2024,Living Donor,65 +,476,7,9,0,49,12,8,1,17,30,14,1,21,1,4,1,0,8,1,8,30,10,33,0,10,3,0,0,11,0,32,9,1,5,2,3,43,0,0,6,1,5,40,7,2,7,8,0,16
2024,Living Donor,Unknown,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,All Donor Types,All Donor Ages,"46,634",440,"1,377",256,"5,290",783,395,54,607,"3,302","1,268",60,"2,258",617,250,255,396,585,41,724,"1,295","1,161","1,178",213,975,363,176,27,"1,032",109,"3,580","1,539",62,"2,397",399,519,"2,157",117,56,673,51,"1,447","4,230",714,12,"1,340",877,147,830
2023,All Donor Types,< 1 Year,172,1,1,2,17,0,0,0,8,4,1,0,10,0,1,0,0,3,0,4,2,5,3,0,7,11,4,0,4,0,12,8,0,11,0,1,13,0,0,4,0,7,17,2,0,4,2,0,3
2023,All Donor Types,1-5 Years,555,8,6,4,55,7,0,1,10,51,26,0,20,4,1,0,3,0,0,4,3,17,16,4,20,12,7,0,14,1,37,17,0,30,0,4,38,2,0,13,0,14,81,4,0,7,3,0,11
2023,All Donor Types,6-10 Years,351,2,13,1,29,1,1,2,12,25,10,2,26,4,0,1,2,1,0,2,5,3,8,3,18,7,0,0,2,3,22,14,0,16,2,1,18,2,0,12,1,11,42,3,0,12,8,0,4
2023,All Donor Types,11-17 Years,"1,765",13,32,11,210,37,6,2,35,118,46,0,89,41,6,11,11,34,0,17,42,51,49,9,53,19,6,0,18,8,120,81,2,72,22,5,82,8,0,29,2,57,166,23,0,46,47,1,28
2023,All Donor Types,18-34 Years,"14,761",180,422,79,"1,847",261,103,16,197,"1,039",437,14,719,232,94,78,130,205,6,232,311,334,341,54,289,110,57,4,269,26,951,564,10,654,134,181,663,40,15,226,16,485,"1,498",210,4,447,292,35,250
2023,All Donor Types,35-49 Years,"15,891",146,440,86,"1,827",272,141,11,165,"1,042",431,36,742,237,71,78,155,191,14,243,448,378,404,78,317,112,66,13,307,43,"1,238",496,25,885,132,212,759,29,11,232,20,514,"1,453",239,3,478,353,48,270
2023,All Donor Types,50-64 Years,"11,140",83,370,68,"1,137",181,126,19,147,787,281,7,565,82,66,76,90,130,16,180,398,322,292,57,210,81,35,8,347,24,972,315,21,592,91,101,513,31,25,152,12,328,864,184,5,302,166,56,225
2023,All Donor Types,65 +,"1,999",7,93,5,168,24,18,3,33,236,36,1,87,17,11,11,5,21,5,42,86,51,65,8,61,11,1,2,71,4,228,44,4,137,18,14,71,5,5,5,0,31,109,49,0,44,6,7,39
2023,Deceased Donor,All Donor Ages,"39,679",382,"1,208",247,"4,536",618,304,42,505,"2,957","1,098",59,"1,942",557,187,219,329,486,21,609,"1,082",997,866,195,870,329,172,12,837,95,"2,996","1,382",47,"2,151",357,476,"1,657",106,39,610,32,"1,341","3,358",580,8,"1,181",760,138,699
2023,Deceased Donor,< 1 Year,172,1,1,2,17,0,0,0,8,4,1,0,10,0,1,0,0,3,0,4,2,5,3,0,7,11,4,0,4,0,12,8,0,11,0,1,13,0,0,4,0,7,17,2,0,4,2,0,3
2023,Deceased Donor,1-5 Years,555,8,6,4,55,7,0,1,10,51,26,0,20,4,1,0,3,0,0,4,3,17,16,4,20,12,7,0,14,1,37,17,0,30,0,4,38,2,0,13,0,14,81,4,0,7,3,0,11
2023,Deceased Donor,6-10 Years,350,2,13,1,29,1,1,2,12,25,10,2,26,4,0,1,2,1,0,2,5,3,8,3,18,7,0,0,2,3,22,14,0,16,2,1,18,2,0,12,1,11,42,3,0,12,7,0,4
2023,Deceased Donor,11-17 Years,"1,765",13,32,11,210,37,6,2,35,118,46,0,89,41,6,11,11,34,0,17,42,51,49,9,53,19,6,0,18,8,120,81,2,72,22,5,82,8,0,29,2,57,166,23,0,46,47,1,28
2023,Deceased Donor,18-34 Years,"13,024",161,391,76,"1,655",216,86,10,169,957,404,14,627,213,77,68,119,176,4,197,272,306,276,52,268,106,56,2,223,25,790,529,8,579,123,173,525,39,12,211,10,455,"1,265",178,3,407,256,35,220
2023,Deceased Donor,35-49 Years,"13,169",124,382,83,"1,537",194,105,7,122,913,366,36,620,211,50,67,122,154,7,205,376,306,286,66,278,93,64,5,236,40,"1,025",426,22,797,116,196,563,23,7,206,10,464,"1,099",179,3,407,303,44,224
2023,Deceased Donor,50-64 Years,"9,062",67,309,65,916,145,94,17,125,683,219,6,483,70,42,62,68,101,9,142,312,267,186,54,177,71,34,4,283,16,801,273,13,522,76,89,371,27,17,132,9,304,624,147,2,260,139,52,177
2023,Deceased Donor,65 +,"1,582",6,74,5,117,18,12,3,24,206,26,1,67,14,10,10,4,17,1,38,70,42,42,7,49,10,1,1,57,2,189,34,2,124,18,7,47,5,3,3,0,29,64,44,0,38,3,6,32
2023,Living Donor,All Donor Ages,"6,955",58,169,9,754,165,91,12,102,345,170,1,316,60,63,36,67,99,20,115,213,164,312,18,105,34,4,15,195,14,584,157,15,246,42,43,500,11,17,63,19,106,872,134,4,159,117,9,131
2023,Living Donor,6-10 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,Living Donor,18-34 Years,"1,737",19,31,3,192,45,17,6,28,82,33,0,92,19,17,10,11,29,2,35,39,28,65,2,21,4,1,2,46,1,161,35,2,75,11,8,138,1,3,15,6,30,233,32,1,40,36,0,30
2023,Living Donor,35-49 Years,"2,722",22,58,3,290,78,36,4,43,129,65,0,122,26,21,11,33,37,7,38,72,72,118,12,39,19,2,8,71,3,213,70,3,88,16,16,196,6,4,26,10,50,354,60,0,71,50,4,46
